Name,Sum_Deaths
Northeast Flooding (March 2010),11
Tropical Storm Allison (June 1989),11
Hurricane Gloria (September 1985),11
Florida Freeze (December 1989),10
Hurricane Dorian (September 2019),10
Western Wildfires (Summer-Fall 2009),10
Midwest/Plains/Northeast Tornadoes (May 2013),10
Severe Storms and Tornadoes (March 2006),10
Southeast Tornadoes and Northern Storms and Flooding (January 2020),10
"Midwest/Southeast Tornadoes (April 6-8, 2006)",10
Michigan Flooding (September 1986),10
Southeast and Eastern Tornadoes (February 2016),10
Southeast/Ohio Valley Severe Weather (February 2009),10
Northeastern Flooding and North Central Severe Weather (July 2023),10
Georgia Flooding (September 2009),10
Northeast Winter Storm (March 2018),9
Colorado Flooding (September 2013),9
Hurricane Isaac (August 2012),9
Southeast Ice Storm (February 1994),9
Pacific Northwest Severe Flooding (February 1996),9
Midwest/Southeast Tornadoes and Derecho (April 2011),9
East/South Severe Weather and Flooding (April 2007),9
Ohio Valley Tornadoes (November 2013),8
Western Wildfires (2021),8
Rockies Hail Storms and Central and Eastern Severe Weather (June 2023),8
Houston Flooding (April 2016),8
Western Wildfires (Summer-Fall 2012),8
Eastern Severe Weather (March 2021),8
Southern Severe Storms and Flooding (April 1980),7
Southern Derecho and Eastern Severe Weather (July 2003),7
Hurricane Iniki (September 1992),7
Severe Storms and Tornadoes (April 2002),7
Southern and Eastern Tornadoes and Severe Weather (April 2019),7
Tropical Storm Fred (August 2021),7
Mississippi River flooding (April-May 2011),7
Midwest/Plains Severe Weather (July 2003),7
Central Derecho and Tornadoes (May 2009),7
Midwest Tornadoes (April 2012),6
South/Southeast Severe Weather and Tornadoes (April 2009),6
Central/Southeast Tornado Outbreak (March 2017),6
Southeast Tornadoes and Severe Weather (March 2021),6
South/Southeast Tornadoes (April 2016),6
Hurricane Zeta (October 2020),6
Hurricane Erin (August 1995),6
Hurricane Delta (October 2020),5
Arkansas River Flooding (June 2019),5
Central and Southern Severe Weather (June 2023),5
Tropical Storm Imelda (September 2019),5
Hurricane Sally (September 2020),5
Southeast Tornadoes (March 2008),5
Hurricane Nicole (November 2022),5
California Flooding (February 2017),5
Louisiana Flooding (May 2021),5
East Coast Storm and Flooding (December 2023),5
Central and Eastern Severe Weather (April 2023),5
Tropical Storm Isidore (September 2002),5
Hurricane Idalia (August 2023),5
Missouri River flooding (May-June 2011),5
Texas and Louisiana Flooding (March 2016),5
"Texas, New Mexico, Arizona Wildfires (Summer-Fall 2011)",5
Central and Eastern Severe Weather (May 2018),5
Southeast Winter Storm (January 2000),4
Central Severe Weather - Derecho (August 2020),4
"Mississippi River, Midwest and Southern Flooding (July 2019)",4
Southern Tornadoes and Southeast Severe Weather (May 2021),4
California Wildfires (Fall 1993),4
Hurricane Elena (September 1985),4
Illinois Flooding and Severe Weather (April 2013),4
Southern Plains Tornadoes (May 2015),4
Northeastern and Eastern Severe Weather (August 2023),4
"Severe Storms, Hail, Tornadoes (May 2004)",4
South and Southeast Severe Weather (April 2015),3
"Oklahoma, Kansas, and Texas Tornadoes and Severe Weather (May 2010)",3
Central Severe Weather (June 2023),3
